# crate	rust_sources
nickel-build-support	1
nickel-codex	12
nickel-codex-fixture	3
nickel-codex-ui	8
nickel-core	29
nickel-file	18
nickel-gaze	8
nickel-i18n	1
nickel-i18n-lint	2
nickel-input	7
nickel-logging	2
nickel-markdown	1
nickel-markdown-ui	4
nickel-mcp-client	1
nickel-platform	15
nickel-remote-control	32
nickel-render-assets	1
nickel	146
nickel-session-protocol	2
nickel-settings	11
nickel-storage	1
nickel-terminal	3
nickel-terminal-ui	2
nickel-ui	37
nickel-ui-testkit	1
nickel-ui-workbench	4
ui-declarative-macros	1
