platform	capability	adapter	fixture_evidence	compile_evidence	evidence_level	live_evidence	live_status	available
linux	image_file_dialog	xdg-desktop-portal_FileChooser	linux::tests::portal_file_uris_preserve_unix_paths_and_percent_escapes	native_linux_test	fixture_only	none	pending_native_portal	true
linux	external_url	xdg-desktop-portal_OpenURI	platform_contract::tests::matrix_is_complete_and_truthful	native_linux_test	fixture_only	none	pending_native_portal	true
linux	path_icon	freedesktop_icon_themes	linux::tests::desktop_entry_declared_icon_precedes_application_identity	native_linux_test	fixture_only	none	pending_native_theme_resolution	true
linux	appearance	portable_default_appearance	platform_contract::tests::matrix_is_complete_and_truthful	native_linux_test	fixture_only	none	not_applicable_no_native_adapter	true
linux	hidden_files_preference	portable_false_fallback	platform_contract::tests::matrix_is_complete_and_truthful	native_linux_test	fixture_only	none	not_applicable_no_native_adapter	true
linux	remote_display_observation	Linux_compositor_output_layout_observation_owner	platform_contract::tests::matrix_is_complete_and_truthful	not_run	fixture_only	none	pending_linux_native_layout	true
linux	remote_display_transactions	Linux_compositor_output_layout_owner	platform_contract::tests::matrix_is_complete_and_truthful	not_run	fixture_only	none	pending_linux_native_layout	true
linux	remote_peripheral_observations	Linux_bounded_peripheral_observation_owner	remote_peripheral_controls::tests::projection_scrubs_native_text_paths_and_clamps_capacity	not_run	fixture_only	none	pending_linux_native_peripherals	true
linux	remote_peripheral_controls	Linux_bounded_peripheral_control_owner	platform_contract::tests::matrix_is_complete_and_truthful	not_run	fixture_only	none	pending_linux_native_peripherals	true
linux	remote_surface_pointer	Linux_compositor_surface_pointer_owner	platform_contract::tests::matrix_is_complete_and_truthful	not_run	fixture_only	none	pending_linux_native_pointer	true
windows	image_file_dialog	Windows_common_item_dialog	windows_file_dialog::tests::image_chooser_distinguishes_cancel_from_native_failure	windows_unit_tests	fixture_only	none	pending_windows_dialog	true
windows	external_url	ShellExecuteW	windows::tests::utf16_helpers_terminate_and_measure_paths	cargo_check_tests_x86_64_pc_windows_gnu	fixture_only	none	pending_windows_shell	true
windows	path_icon	Windows_Shell_and_shortcut_resolver	windows::tests::installed_shortcut_icon_has_visible_pixels	cargo_check_tests_x86_64_pc_windows_gnu	fixture_only	none	pending_windows_shell	true
windows	appearance	Windows_registry_and_winit_chrome	platform_contract::tests::matrix_is_complete_and_truthful	cargo_check_tests_x86_64_pc_windows_gnu	fixture_only	none	pending_windows_window	true
windows	hidden_files_preference	Explorer_registry	platform_contract::tests::matrix_is_complete_and_truthful	cargo_check_tests_x86_64_pc_windows_gnu	fixture_only	none	pending_windows_registry	true
windows	remote_display_observation	Windows_DisplayConfig_and_native_output_observation_owner	windows_remote_display_topology::tests::incomplete_native_topology_still_exposes_active_layout_without_transactions	windows_unit_tests	native_read_verified	windows_remote_control::tests::native_display_owner_read_reports_transaction_prerequisites	not_applicable_mcp_listener_disabled_in_build	true
windows	remote_display_transactions	Windows_temporary_DisplayConfig_transaction_and_guarded_recovery_owner	windows_remote_display_topology::tests::supplied_configuration_moves_only_validated_source_positions	windows_unit_tests	fixture_only	none	pending_windows_native_display_transaction_current_topology_incomplete	true
windows	remote_peripheral_observations	Windows_bounded_printer_and_volume_observation_owner	remote_peripheral_controls::tests::projection_scrubs_native_text_paths_and_clamps_capacity	windows_unit_tests	native_read_verified	windows_remote_control::tests::native_peripheral_owner_read_requires_live_debug_authority	not_applicable_mcp_listener_disabled_in_build	true
windows	remote_peripheral_controls	native_Windows_peripheral_mutations_lack_cancellable_owner	platform_contract::tests::matrix_is_complete_and_truthful	not_run	fixture_only	none	not_applicable_unavailable	false
windows	remote_surface_pointer	Windows_shell_surface_pointer_owner	windows_resource_owner::tests::shell_surface_pointer_coordinates_use_logical_client_space	windows_unit_tests	native_input_verified	windows_resource_owner::tests::native_live_shell_surface_pointer_uses_current_dpi_and_visible_client [NICKEL_WINDOWS_SURFACE_POINTER_MOVE_TEST=1]	pending_windows_live_owner_pointer	true
