record_type	fixture	modality	controller_family	viewport	direction	theme	scale	locale	target	path	evidence
reachability	populated	controller	generic	wide	ltr	dark	1.0	en-US	Home	open,previous-pane,confirm	semantic-test
reachability	populated	controller	generic	wide	ltr	dark	1.0	en-US	Applications	open,previous-pane,down,confirm	semantic-test
reachability	populated	controller	generic	wide	ltr	dark	1.0	en-US	Places	open,previous-pane,down,down,confirm	semantic-test
reachability	populated	controller	generic	wide	ltr	dark	1.0	en-US	Settings	open,previous-pane,end,confirm	semantic-test
reachability	populated	controller	generic	wide	ltr	dark	1.0	en-US	LaunchApplication	open,confirm	semantic-test
reachability	populated	controller	generic	wide	ltr	dark	1.0	en-US	TogglePin	open,context-menu,down,confirm	semantic-test
reachability	populated	controller	generic	wide	ltr	dark	1.0	en-US	RequestLogout	open,previous-pane,end,context-menu,confirm	semantic-test
reachability	populated	controller	generic	wide	ltr	dark	1.0	en-US	OpenProject	open,next-pane,down,confirm	semantic-test
reachability	populated	controller	generic	wide	ltr	dark	1.0	en-US	SeeAllProjects	open,next-pane,end,confirm	semantic-test
reachability	populated	keyboard	generic	wide	ltr	dark	1.0	en-US	FocusSearch	open,focus-search,type	semantic-test
reachability	populated	pointer	generic	wide	ltr	dark	1.0	en-US	TogglePin	open,secondary-activate,activate-pin	semantic-test
reachability	populated	accessibility	generic	wide	ltr	dark	1.0	en-US	TogglePin	open,context-action,activate-pin	semantic-test
reachability	empty	controller	generic	narrow	ltr	dark	1.0	en-US	Settings	open,previous-pane,end,confirm	semantic-test
reachability	loading	controller	generic	narrow	ltr	dark	1.0	en-US	FocusSearch	open,next-pane,confirm	semantic-test
reachability	partial-failure	controller	generic	narrow	ltr	dark	1.0	en-US	RequestLogout	open,previous-pane,end,context-menu,confirm	semantic-test
variant	populated	controller	playstation	wide	ltr	dark	1.0	en-US	launcher-dashboard	fixture-registry	fixture-declared
variant	populated	controller	xbox	wide	ltr	light	2.0	de-DE	launcher-dashboard	fixture-registry	fixture-declared
variant	populated	controller	switch	narrow	rtl	high-contrast	2.0	ar-SA	launcher-dashboard	fixture-registry	fixture-declared
variant	populated	controller	generic	narrow	ltr	custom-accent	1.25	es-ES	launcher-dashboard	fixture-registry	fixture-declared
variant	populated	keyboard	generic	wide	ltr	reduced-transparency	1.0	zh-CN	launcher-dashboard	fixture-registry	fixture-declared
performance	warm	controller	generic	wide	ltr	dark	1.0	en-US	OpenToFrame	warm-build-p95-under-100ms	automated-threshold
performance	warm	controller	generic	wide	ltr	dark	1.0	en-US	ControllerToTransition	controller-transition-p95-under-16ms	automated-threshold
performance	warm	controller	generic	wide	ltr	dark	1.0	en-US	Idle	global-action-no-local-invalidation	automated-invalidation-test
